name, birth_year, genre
Celeste_De_Blasis romance, 1946, romance
Celeste_Stoney other, 1989, other
Cevin_Soling other, 1966, other
Cha_Cha_Malone other, 1987, other
Chad_Brock other, 1963, other
Chad_I_Ginsburg other, 1972, other
Chad_Sweeney poetry, 1970, poetry
Chan_Romero other, 1941, other
Chantal_Claret other, 1982, other
Chantelle_Paige other, 1988, other
Charlene_Costanzo other, 1949, other
Charles_A._Spano _Jr. science_fiction, 1948, science_fiction
Charles_Belfoure other, 1954, other
Charles_E._Fritch other, 1927, other
Charles_E._Fritch science_fiction, 1927, science_fiction
Charles_E._Fritch fantasy, 1927, fantasy
Charles_G._Finney fantasy, 1905, fantasy
Charles_Hamilton_(rapper) other, 1987, other
Charles_Jenkins_(American_Gospel_musician) other, 1975, other
Charles_Kelley other, 1981, other
Danja_(record_producer) other, 1982, other
Danny_Berrios other, 1961, other
Danny_Flores other, 1929, other
Danny_Mayo other, 1950, other
Danny_O'Keefe other, 1943, other
Danny_Tate other, 1955, other
Danny_Whitten other, 1943, other
Darden_Smith other, 1962, other
Daron_Jones other, 1976, other
Darrel_Ray other, 1950, other
Darrell_Clanton other, 1956, other
Darrell_McCall other, 1940, other
Darrell_Nulisch other, 1952, other
Darren_Farris other, 1972, other
Darryl_Worley other, 1964, other
Daryl_Hoole other, 1934, other
Daryl_Simmons other, 1957, other
Dave_Anthony other, 1967, other
Dave_Carter other, 1952, other
Dave_Cloud other, 1956, other
Dave_Hollister other, 1971, other
Dave_Moody other, 1962, other
Dave_Smeds science_fiction, 1955, science_fiction
Davi_Shane other, 1994, other
David_A._Carter other, 1957, other
David_A._Hargrave other, 1946, other
David_A._Hargrave science_fiction, 1946, science_fiction
David_A._Hargrave fantasy, 1946, fantasy
David_A._Martin other, 1937, other
David_Allen_Hulse other, 1948, other
David_Ball_(country_singer) other, 1953, other
David_Barr_Kirtley other, 1977, other
David_Barr_Kirtley science_fiction, 1977, science_fiction
David_Barr_Kirtley fantasy, 1977, fantasy
David_Batteau other, 1949, other
David_Bell_(author) other, 1969, other
David_Biespiel poetry, 1964, poetry
David_Blue_(musician) other, 1941, other
David_Bronson_(musician) other, 1976, other
David_Bryson other, 1961, other
David_Chastain other, 1963, other
David_Cloyd other, 1976, other
David_Crosby other, 1941, other
David_F._Case other, 1937, other
David_F._Case fantasy, 1937, fantasy
David_Foster_Wallace other, 1962, other
David_Gans_(musician) other, 1953, other
David_Gessner other, 1961, other
David_Greenberger other, 1954, other
David_H._Greene other, 1913, other
David_Hackett_Fischer other, 1935, other
David_Hitt other, 1975, other
David_Housewright other, 1955, other
David_Ignatius other, 1950, other
David_J._Williams science_fiction, 1971, science_fiction
David_Jewell_(poet) poetry, 1955, poetry
David_L._Cook other, 1968, other
David_L._Lindsey other, 1944, other
David_Louis_Edelman science_fiction, 1971, science_fiction
David_Lynn_Jones other, 1950, other
David_Macinnis_Gill other, 1963, other
David_Macinnis_Gill science_fiction, 1963, science_fiction
David_Malachowski other, 1955, other
David_Nail other, 1979, other
David_Phelps_(musician) other, 1969, other
David_Pomeranz other, 1951, other
David_S._Goyer other, 1965, other
David_S._Levinson other, 1969, other
David_Shannon other, 1959, other
David_Shapiro_(poet) poetry, 1947, poetry
David_Siegel_(musician) other, 1973, other
David_St._John poetry, 1949, poetry
David_Townsend_(musician) other, 1955, other
David_W._Ball other, 1949, other
David_Wills_(singer) other, 1951, other
Davis_Daniel other, 1961, other
